textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,senator carl krueger thinks ipods can kill you,0.13131196820636853,0.07564594102148472,0.04057137729524639,0.2137481675980716,0.14355055685928314,0.3951719890195456
2,who is prince frederic von anhalt,0.12202908379314775,0.1771537873587422,0.043682971488807225,0.16568912644478337,0.3086694738519084,0.182775557062611
3,prestige has magic touch,0.0,0.0,0.02089069799878313,0.41458951266038807,0.17005047426689324,0.3944693150739356
4,study female seals picky about mates,0.023488296538968296,0.030458743015762367,0.05687463131792827,0.42359615861846894,0.0923784759232385,0.3732036945856335
5,no e book for harry potter vii,0.09389871046959862,0.08948205597351852,0.03752423046265107,0.2974078206990739,0.2060692774288978,0.27561790496626004
6,blair apologises over friendly fire inquest,0.09924734402586276,0.04127724348228561,0.26861987849903507,0.0,0.4829413294625417,0.10791420453027485
7,vegetables may boost brain power in older adults,0.0,0.0,0.0926,0.4444,0.0,0.463
8,afghan forces retake town that was overrun by taliban,0.1002038210292903,0.008749601424906888,0.40771800679212217,0.008749601424906888,0.4394656045972237,0.035113364731549926
9,skip the showers male sweat turns women on study says,0.0,0.11387492024230754,0.0,0.13747481633202602,0.0,0.7486502634256667
10,made in china irks some burberry shoppers,0.10560969569116034,0.1277601882099686,0.18863796374736908,0.22278087461904522,0.1001805042800799,0.25503077345237674
11,britain to restrict immigrants from new eu members,0.13815664007275705,0.03694875535935858,0.30904828948642254,0.1550441355212444,0.21551102858205262,0.14529115097816475
12,canadian breakthrough offers hope on autism,0.05758960433972648,0.0,0.11688874945736902,0.3184967708547022,0.11046362309386967,0.3965612522543326
13,russia to strengthen its military muscle,0.1213501931627763,0.07094813519528724,0.31711120579238533,0.15046840013295287,0.1887590694602077,0.15136299625639058
14,alzheimer s drugs offer no help study finds,0.1325186301931231,0.0658997337819545,0.20389576941710455,0.21883524003389385,0.22212388400508365,0.15672674256884056
15,uk police slammed over terror raid,0.1670502466897314,0.13598866678221475,0.4160821377475447,0.019064318282685275,0.21349241966701735,0.048322210830806345
16,no rejects police state claim,0.18825035369015058,0.13266812195331876,0.38570404878111836,0.016588176874719633,0.1558166982620562,0.12097260043863646
17,oprah announces new book club pick,0.06281590032561887,0.1146590091253482,0.07121476323350409,0.3972556901057335,0.1658868451475891,0.18816779206220607
18,smith can t be buried until hearing,0.12783722341700593,0.017219904923823255,0.18183985705784408,0.054263340659553204,0.19650742961221734,0.422332244329556
19,african nation hopes whoopi can help,0.031286539066578495,0.00854357489407843,0.13794859276794522,0.4086596525191483,0.14820606068351913,0.26535558006873033
20,tourism lags in bush s hometown,0.10104069620819581,0.06735551604721357,0.14303905962090685,0.3903624559075313,0.1259174367531766,0.17228483546297574
21,air france klm profit rises,0.28280550539679167,0.04389956255657308,0.13936185923057712,0.26462163298940083,0.1502290041588825,0.11908243566777464
22,au regrets sudan s expulsion of un envoy,0.07196273839521682,0.03430357157333385,0.061804730628198155,0.3439336834740894,0.08209860323417355,0.4058966726949881
23,taiwan s mr clean indicted steps down,0.13989778362465913,0.02405418358357357,0.217517352725694,0.12531208742024527,0.30949456744793374,0.18372402519789433
24,martian life could have evaded detection by viking landers,0.1176,0.0,0.0588,0.0,0.1176,0.7059
25,turner pays for boston bombing,0.09942963783492786,0.0716410478828571,0.3095750407394501,0.1532617234540414,0.1869950427913154,0.1790975072974081
26,serena misses bangalore tournament,0.29818864696599123,0.03427069073130599,0.036989850063834644,0.0,0.35601736859235106,0.27453344364651705
27,attorneys point fingers in fight between ryan o neal and son,0.01971491319167052,0.10037463338743381,0.04833387373031952,0.3468125284214449,0.22086264932001518,0.2639014019491163
28,pledge i was abused in frat hazing,0.038664910682494426,0.04454956255520029,0.22996862751321412,0.2339868772717362,0.13961175541446183,0.313218266562893
29,whistle blowing web site exposed,0.1536326256762785,0.07870688685958448,0.24209035535008305,0.138494897889193,0.17666004081112713,0.21041519341373385
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.12108255473680468,0.125443935251852,0.20553047424731502,0.2735430250577259,0.18276012660540725,0.09163988410089514
31,royal rescues presidential hopes with commanding performance,0.020929516679836592,0.008375657548968645,0.041859033359673184,0.7110028558315714,0.008375657548968645,0.20945727903098163
32,minister slams airlines on carbon,0.12765604971420272,0.11752294753377356,0.11695593607930595,0.29839209206356154,0.17792002474596433,0.16155294986319166
33,audio slide show a love story lasting years,0.05776155558300571,0.03082735424322064,0.07515381862436778,0.28475070461510227,0.251907441779283,0.2995991251550205
34,fully cooked chicken strips recalled,0.4515113882379386,0.06060005959591464,0.13747749651474553,0.08251062919928606,0.12010721248463822,0.14779321396747697
35,madonna adoption bid approved,0.0,0.031168842578967477,0.03538799966393729,0.6229175001346393,0.027463077962243333,0.2830625796602124
36,rowdy fans ejected from the open,0.05457663149367058,0.0,0.0,0.7565357470779317,0.03530737947007106,0.15358024195832665
37,snow wreaks havoc in east midwest,0.10837776465496016,0.0325951410522219,0.29939576382436983,0.018431399517173302,0.17248857127730605,0.36871135967396884
38,the energy challenge exotic visions how to cool a planet maybe,0.1125067226922813,0.14007303299876991,0.21655104236137332,0.11905370652406372,0.10491805722469484,0.30689743819881654
39,libby defense upsets judge rests,0.2755494112541758,0.1627275305427652,0.10898449907545081,0.06782291649850869,0.08270804536273554,0.3022075972663641
40,briton admits u s bomb plot role,0.1767513983166215,0.12114708613026781,0.2760272959083664,0.07918339645451268,0.20094868070654787,0.14594214248368356
41,routine mission turns into hunt for missing comrade,0.019975922476073344,0.0,0.2395853115121299,0.28643565818615535,0.21738169953725464,0.23662140828838676
42,ex suspect slams anti terror laws,0.10550204891245188,0.050012734111397915,0.3172191675063476,0.2959157778558288,0.12757968595141192,0.10377058566256202
43,federer overcomes a ragged start,0.0,0.0,0.02414205547215968,0.42540479711958157,0.19960129984023764,0.3508518475680212
44,investigation of child porn site hits nations,0.19520081220967372,0.25079961800925255,0.12760816262102348,0.11657820946517053,0.16674446354266323,0.14306873415221658
45,bangladesh ends curfew amid unrest,0.4651325394165455,0.081533846973012,0.05760392669509814,0.003969435984035271,0.16295657737440572,0.2288036735569035
46,sarkozy comfort zone offers a royal opportunity,0.09527680770093976,0.04128858560629689,0.025399272976691936,0.6433946313276852,0.006359662923621315,0.18828103946476468
47,sick hearts switch on a fetal gene,0.0284866973851307,0.085825355874236,0.03870113238171094,0.3054460488848713,0.11470326527915801,0.426837500194893
48,chinese president arrives in mozambique african tour nearly over,0.0,0.0,0.0,0.7556011375493862,0.0,0.24439886245061399
49,homemade bombs kill on indian train,0.14009289079478002,0.08882987537544848,0.2346870642477558,0.0,0.39533390360009163,0.14105626598192403
50,france rejects rwandan investigators,0.35364888668307987,0.0775646473228306,0.19774518190050946,0.08044693728033381,0.19696932342669957,0.0936250233865467
51,at libby trial russert of nbc gives and gets,0.07842843957602477,0.0709731557628179,0.08081043474780689,0.3380907475609647,0.1200411604168335,0.3116560619355521
52,rare optimism as north korea talks reach crossroads,0.085203241147058,0.005799430729621383,0.19789536082149872,0.3570211762999718,0.15092287195222728,0.20315791904962252
53,for women nothing s like the smell of men s sweat,0.0,0.1882,0.0,0.1529,0.0,0.6588
54,reports harvard set to name first female president,0.040596910619486504,0.04145434669146228,0.05221951106759774,0.34275281935952173,0.08313338845423618,0.43984302380769574
55,justin timberlake cameron diaz announce split,0.4145564196751686,0.04861572257487841,0.04611541271149177,0.024982495963682856,0.3624666239659665,0.10326332510881221
56,hastert sorry for scandal but not quitting,0.06404234838929324,0.149873241849979,0.023455557901913948,0.463875351722581,0.13348698086473593,0.1652665192714971
57,world s oldest newspaper now exists only online,0.1889135986464955,0.1928240247999345,0.24882918183096675,0.014374198030325322,0.1945527022074457,0.16050629448483222
58,houston she s got some problems,0.06204361602972711,0.04703509858767128,0.11376249154660067,0.3710386488500219,0.10104285344119526,0.3050772915447838
59,firms on alert for letter bombs,0.02792287637049758,0.004121187722045699,0.21123336962770395,0.09764773853360219,0.24032975032954498,0.4187450774166055
60,study africa s internet gap getting wider,0.1497812854990175,0.12093071956754184,0.18476951761372953,0.1431857447705588,0.29709953247455473,0.10423320007459756
61,siesta cuts risk of heart disease death study finds,0.10847788907164012,0.04761354960719198,0.16090144524812258,0.34237545087394045,0.14155238380898164,0.19907928139012343
62,spain ahead although nadal is out,0.01843579752261089,0.011917460664684269,0.16219923370396586,0.4466861819471756,0.23526720327216044,0.12549412288940306
63,runway making good without making nice,0.03261681042934842,0.045316473335991925,0.0,0.538322934946404,0.11646093881946452,0.26728284246879125
64,russia plans new icbms nuclear subs,0.09599042849388233,0.06737437559559739,0.30529820587293194,0.12760620615221308,0.07206109290294466,0.3316696909824305
65,no buyer in sight for napster,0.15492028154511497,0.13080573287389263,0.09960044793137081,0.12048755362027921,0.2703857504836503,0.22380023354569198
66,outcry at n korea nuclear test,0.11246405797479206,0.057599703458813586,0.3433422743211122,0.22340924938627102,0.1495164769254655,0.11366823793354579
67,ipod good for video games,0.0,0.0,0.0023899107149368457,0.7000753860461348,0.0,0.2975347032389283
68,taking the plunge,0.0,0.02971470267183569,0.11848480613492306,0.4140606671056863,0.044319820001051856,0.3934200040865032
69,england include giles in wc squad,0.042901375111068486,0.02546116113921817,0.14293571065919755,0.2778336472893349,0.356263096071275,0.15460500972990604
70,beyonce copyright claim rejected,0.16078053745698595,0.044881842893704234,0.048453548892495577,0.19157471382448096,0.10815310111176896,0.44615625582056445
71,london market a shopping dining haven,0.06602937562313227,0.05186953968824119,0.12016122675706008,0.3278109530010082,0.23396732962088473,0.20016157530967357
72,pm havana deal a good experiment,0.2608575955847582,0.12817812130301823,0.05046406245147584,0.2880648199161257,0.19239076469038965,0.08004463605423244
73,dozens killed in baghdad bombing,0.1017962509702957,0.05458387942710014,0.26580138140213294,0.04982005198845242,0.4416440210077591,0.08635441520425984
74,damaged japanese whaling ship may resume hunting off antarctica,0.10730286205355782,0.0586883680186356,0.1969179155340838,0.14220226919367016,0.36561968449673743,0.12926890070331515
75,un nuclear watchdog slashes iran aid,0.1543960857026319,0.041541772881341005,0.30518762781366077,0.08543114411341773,0.25773174702977836,0.15571162245917008
76,toyota s scion parks in second life,0.0722635090565975,0.08206158726392226,0.13054330679449103,0.2623220084934359,0.21086386090092776,0.24194572749062568
77,telecoms giant slashes jobs,0.4315448923406363,0.0525065154406029,0.06161996887493531,0.0,0.2882450331424549,0.16608359020137053
78,canete wins inaugural joburg open,0.0,0.0,0.012229947301555091,0.8658077730479,0.0,0.12196227965054489
79,yahoo s mission quest,0.10007637226067946,0.12031231799228927,0.1496114822481232,0.20726751022640075,0.19921630575869723,0.22351601151380993
80,weekly nielsen will lost find its way back,0.08342001455281008,0.01700591148563317,0.15493164922322222,0.2031667202330872,0.2817999481903633,0.259675756314884
81,u s online love brokers eye china,0.13066879642966034,0.1346793147968957,0.2244315127523671,0.12708163441320566,0.2873431002707745,0.0957956413370968
82,amish schoolhouse torn down,0.2417602976828094,0.01672705362543584,0.1600611309565311,0.04751966244181089,0.3833455127227777,0.150586342570635
83,china cheney shores up the trilateral alliance,0.09086238483861951,0.0077410971814269765,0.12550089746822343,0.3847546218895036,0.056868093264810154,0.33427290535741644
84,g yen skates by yuan singled out,0.11977044408160553,0.10559301542376456,0.1769494066237466,0.08634481287318857,0.3393146333800592,0.1720276876176356
